广州_马场_AGCF5,2018-06-01 00:34:21,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 00:34:34,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:34:50,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:35:08,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:35:23,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:36:08,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:36:22,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:36:41,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:37:10,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:37:26,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:37:41,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:38:11,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:38:44,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:39:11,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:39:40,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 00:40:11,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:40:26,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:40:58,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:41:14,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:41:47,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:42:02,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:42:47,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:43:05,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:43:18,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:43:35,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:43:50,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:44:56,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:45:41,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:45:57,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:47:26,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:47:41,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:48:35,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:49:05,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:49:22,ZX-AGCF,省NOC,3
广州_马场_ICSCF3,2018-06-01 00:49:35,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:49:50,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:50:05,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:50:17,ZX-CSCF,省NOC,2
广州_马场_AGCF5,2018-06-01 00:50:51,ZX-AGCF,省NOC,3
广州_环市西_MGCF2,2018-06-01 00:51:10,ZX-MGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 00:51:25,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 00:51:40,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 00:51:58,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 00:52:13,ZX-AGCF,省NOC,3
广州_马场_AGCF5,2018-06-01 00:52:32,ZX-AGCF,省NOC,3
广州_环市西_MGCF2,2018-06-01 00:53:04,ZX-MGCF,省NOC,3
广州_客村_IMGW4,2018-06-01 01:19:32,ZX-IMGW,广州,3
广州_马场_ICSCF3,2018-06-01 00:54:05,ZX-CSCF,省NOC,2
广州_马场_ICSCF3,2018-06-01 00:54:23,ZX-CSCF,省NOC,2
